relative_path,page,chars,words,images,drawings,flags,excerpt
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,21,500,69,3,6,,19 图十四 这个结论表明，在相机距离标靶在200 毫米（即20 厘米）以上时有着非常 高的精度以及稳定性，而我们实际拍摄时的物距很少小于20 厘米，而且本文中 的物距大约是500 毫米左右，由图可以知道当距离大于500 毫米时，误差仅仅在 0.1 个像素之内，所以可以认为我们的模型是比较理想的。 2.像平面与圆平面之间的偏角对结果的影响。 2.1 α 的变
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,22,751,94,2,5,,"20 由图可以知道当α 在[ , ] 2 2 π π − 变化时，误差始终在2 个像素以内，而且在 0 α = 时取得最小误差。特别是当0.5 0.5 α − ≤ ≤ 时误差小于一个像素，对我们模 型的结果几乎没有产生影响。 2.2 β 的变化对结果的影响 从直观上来说，在 0 α = 的前提下，像平面和圆所在平面都在铅垂面，β 的 变化直接对应着像平面和圆"
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,23,1252,384,1,3,,21 很大的误差，而且在小于20 毫米时极不稳定，但是在大于200 毫米时误差始终 不超过一个像素，而且随着距离的增大误差趋向于零。所以对于合理的相机与标 靶的相对位置，我们的模型始终是有效而精确的。 问题四 用两部相机进行拍摄定位时，就会存在两个相机坐标系，我们记为 1 1 1 1 2 2 2 2 : : C C C C C C C X Y Z C X Y
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,24,826,255,2,32,,"22 ( , , ,1) W W W X Y Z 为P 在世界坐标系里的奇次坐标。展开上式可得： 1 1 1 1 1 1 1 1 1 31 11 1 32 12 1 33 13 1 34 14 1 1 1 1 1 1 1 1 1 31 21 1 32 22 1 33 23 1 34 24 ( ) ( ) ( ) ..........(13) ( ) ( ) "
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,25,1036,304,7,13,appendix,"23 问题一、二中我们已经求得了靶标上圆在像屏上面的坐标，以摄像机的光心为原 点，建立空间中的直角坐标系。x y − 平面平行于像平面，Z 轴即为相机的光轴。 可以标出象平面上所有点的坐标，这里设为 1 1 1 2 2 2 3 3 3 ( , , ) ( , , ) ( , , ) a b c a b c a b c 、 、 ,这三个 点对应在靶标平面上的三"
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,26,797,141,1,2,,"24 以知道 2 1 1 2 O O AO AO = − uuuur uuuur 即两个相机的相对位置。 五、模型的思考 1.离心率问题 观察题中所给的像图，可以很明显的看出不同椭圆的离心率是不相同的，那 么是什么原因导致同一世界坐标系下不同位置的圆经转换后而形成离心率不同 的椭圆的呢？ 前文已经给出坐标系转换的变换矩阵M ，如下： 0 0 0 , 1 0 "
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,27,285,17,1,1,references,25 参考文献 [1] 马颂德 张正友，计算机视觉，北京：科学出版社，1998 [2] 姜启源 谢金星 叶俊，数学模型，北京：高等教育出版社，2003 [3] 李庆扬等，非线性方程组的数值解法，北京：科学出版社，1997 [4] 陈亚浙 吴兰成，二阶椭圆型方程与椭圆型方程组，北京：科学出版社，1991 数学中国论文共享 www.madio.cn 微信公众号：
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,28,766,211,1,12,appendix,26 附录 1.坐标系旋转变换 对于二维的坐标旋转变换，如由xoy 绕o 点逆时针旋转θ 到新的坐标系 ' ' x oy ，则有以下变换关系： 'cos sin 'sin 'cos x x y y x y θ θ θ θ = −   = +  即： ' cos sin ' sin cos x x y y x y θ θ θ θ = +   = − 
2008年数学建模国赛真题+优秀论文/2008A：《数码相机定位》/论文/数码相机定位.pdf,29,1054,323,1,3,,27 系为 3 3 3 cos cos (sin sin cos cos sin ) ( cos sin cos sin sin ) ( cos sin ) ( sin sin sin cos cos ) (cos sin sin sin cos ) sin ( sin cos ) cos cos X x x y z Y y x y z Z z x y z 
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,1,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,2,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,3,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,4,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,5,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,6,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,7,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,8,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,9,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,10,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,11,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,12,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,13,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《具有仿射不变性的几何结构在相机定位中的应用》.pdf,14,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,1,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,2,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,3,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,4,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,5,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,6,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,7,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,8,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,9,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,10,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,11,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,12,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,13,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,14,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,15,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,16,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,17,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,18,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,19,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,20,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,21,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,22,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,23,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,24,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,25,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,26,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,27,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,28,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,29,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,30,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,31,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,32,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,33,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位》.pdf,34,31,3,2,0,,数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,1,488,42,1,11,references,"2008 2008 2008 高教社杯全国大学生数学建模竞赛 承 诺 书 我们仔细阅读了中国大学生数学建模竞赛的竞赛规则. 我们完全明白，在竞赛开始后参赛队员不能以任何方式（包括电话、电子邮件、网 上咨询等）与队外的任何人（包括指导教师）研究、讨论与赛题有关的问题。 我们知道，抄袭别人的成果是违反竞赛规则的, 如果引用别人的成果或其他公开的 资料（包括网上查"
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,2,169,18,1,16,number_page,2008 2008 2008 高教社杯全国大学生数学建模竞赛 编号专用页 赛区评阅编号（由赛区组委会评阅前进行编号）： 赛区评阅记录（可供赛区评阅时使用）： 全国统一编号（由赛区组委会送交全国前编号）： 全国评阅编号（由全国组委会评阅前进行编号）： 评 阅 人 评 分 备 注数学中国 www.madio.net 微信公众号：科研交流
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,3,1065,47,1,0,abstract,1 数码相机定位算法研究 数码相机定位算法研究 数码相机定位算法研究 摘要 摘要 摘要 本文研究数码相机定位中有关系统标定的相关问题。 首先，本文建立了三个坐标系：像素平面坐标系、像物理平面坐标系和相机坐标系。 其中像素平面坐标系和像物理平面坐标系是同一个平面针对不同需要而建立的；相机坐 标系是一个世界坐标系，它以相机为参照物。 然后针对第一问确定圆心在像平
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,4,942,70,1,0,,2 一、 一、 一、 问题重述 问题重述 问题重述 数码相机定位在交通监管（电子警察）等方面有广泛的应用。所谓数码相机定位是 指用数码相机摄制物体的相片确定物体表面某些特征点的位置。最常用的定位方法是双 目定位，即用两部相机来定位。对物体上一个特征点，用两部固定于不同位置的相机摄 得物体的像，分别获得该点在两部相机像平面上的坐标。只要知道两部相机精确的相对 
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,5,853,49,1,0,appendix,3 尺寸、形状等信息，我们就可以确定靶标在三维空间中与相机的位置关系。 确定了靶标与相机的位置关系后，就可以很容易的将靶标上的点投射到靶标像平面 上，当然也包括五个圆心。在求取出五个圆心的空间坐标之后，将其投射到像平面上， 就得到了第一问需要求的坐标。 在求解时涉及到一个问题，就是像平面上怎样确定切线。因为像平面上的图形是不 规则的，所以很难确定这些形状的切
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,6,314,29,2,9,appendix,4 (二)图像轮廓的提取 在提取图像轮廓时，首先要引入计算机图像处理技术中四邻域的概念。 四邻域：某个像素的上、下、左、右四个像素成为该像素的四邻域。如下图所示： A B C D E F G H I 图1 四邻域示意图 则A 的四邻域为B、C、D、E 四个像素。在寻找边界时，对任意一个值为1 的像 素，只要其四邻域有一个值为0，则认为这个像素为边界上的像素。
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,7,219,34,1,68,,"5 (三)坐标定义 1. 像素平面坐标系 像素平面坐标即像素的行、列所标识的坐标，如下图所示： … … … u Op 1 2 3 4 5 6 n 1 2 3 4 5 6 m 图3 像素平面坐标示意图 其中每个像素表示为矩阵的行、列数，如(u,v)=(1,1)代表第一行第一列的像素。 2. 像物理平面坐标系 像物理平面坐标系是以图像的中心为坐标原点的坐标系，如"
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,8,595,110,1,10,,6 Op Or u v xr yr 图4 物理平面坐标示意图 图中Op-uv 坐标系为像素平面坐标系，Or-xryr 为物理平面坐标系。两者的转换关系 为[1]： （1）                                      1 1 0 0 1 0 1 1 0 0 
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,9,560,42,1,16,appendix,7 y x yr xr z Or O 图5 相机坐标系示意图 (四)分别提取五个圆轮廓的像素坐标 为了便于下面求解，还要将五个圆轮廓的坐标分别提取出来。由于在上一个处理中， 已经将图像中可能出现的孤立的点除去，因此现在图像中只存在轮廓上的点，这意味着 图像中每一个像素值为1 的点其四周至少有一个像素的值为1。因此我们可以使用如下 方法提取五个圆轮廓的像素坐标
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,10,753,117,1,0,,8 六、 六、 六、 模型建立 模型建立 模型建立 (一)针孔相机模型的建立 相机即一个从三维世界点的集合到二维世界点的集合的一个映射。针孔相机模型是 一个没有引入任何非线性畸变的映射，空间点P 通过一个3×4 的矩阵映射到影像点p。 1. 射影几何 射影几何是本文讨论的基础。射影几何是欧氏几何的扩展，解决了欧氏几何中无穷 远处元素的问题。 对于三维坐标(X
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,11,588,122,1,2,,"9               1 0 0 0 0 0 0 f f K 因此，相机坐标(x,y,z)映射到像物理平面坐标(xr,yr)就可以写成如下形式： （4）                                         1 "
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,12,254,68,2,0,,10 i. 在靶像上找到四个定点圆的外切线，如下图所示，确定四个交点分别为A’、B’、C’、 D’。 图6 切线示意图 ii. 将四个点按照如下公式映射到z=-1 平面上： （5）                                  1 1 - 0 0 0 - 0 0 0 - 2
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,13,939,179,1,41,,11 iii. 得到的四个点A’’、B’’、C’’、D’’既为靶标在z=-1 平面上的射影，如下图所示： A’’’ B’’ C‘’' D’’’ D’’ B’’’ A’’ C‘’ O 图7 靶标在z=-1 上的投影示意图 在靶标上与这四个点相对应的是A’’’、B’’’、C’’’、D’’’四个点，它们是A、C、D、E 四个圆外公切线的交点，并与A’’、B’’、C
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,14,821,175,1,2,,12 D’’’的坐标，靶标平面在相机坐标中的位置也随之确定。 (三)寻找圆心的方法 经过如上处理后，我们就得到了靶标在物理世界中相对于相机的位置。这时只要将 靶标平面的圆心映射到相平面上即可找到靶标平面上圆心的位置。映射按照针孔相机透 视模型的映射法则进行映射，即： （7）                     
2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008A：《数码相机定位算法研究》.pdf,15,541,36,1,110,,13 1. 求解思路 求解切线方程并不是最优问题，但是我们可以通过一定方法将其转化成一个最优问 题。 首先是约束条件。我们所研究的图形的切线跟图形理论上应该只有一个交点，但是 在计算机中，这个形状的边界点是离散的而非连续的，所以很难保证切线与图形只有一 个交点，即使在离散的坐标中的确只有一个交点。因此我们这里并不希望切线与图形之 间有交点，而是图形与切线的最
