paper_id,population_group,prior_subject_type,prior_artifact_eligibility,final_subject_type,final_artifact_eligible,confidence,primary_evidence,decision_reason,downstream_action,manual_review_remaining
CUMCM-2012-D-D044,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=D044.doc; parent=2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (1); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2013-D-001,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=论文.doc; parent=2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2013-D-004,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=赣南师范学院科技学院 D 赖铖、袁彦、舒敏.doc; parent=2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析 (2); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2014-A-006,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=关于椭圆参数的计算.doc; parent=2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2014-B-001,IMAGE_SEQUENCE,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,source container sibling/code context; image pages contain plots or figures rather than paper sections,short image/plot sequence with code or shared supporting-file context and no independent paper structure,CLOSED_INELIGIBLE,0
CUMCM-2014-B-B1604,IMAGE_SEQUENCE,PAPER,UNRESOLVED,SUPPORTING_MATERIAL,0,HIGH,source container sibling/code context; image pages contain plots or figures rather than paper sections,short image/plot sequence with code or shared supporting-file context and no independent paper structure,CLOSED_INELIGIBLE,0
CUMCM-2014-D-002,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=储药柜的设计.doc; parent=2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计 (2); membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2014-D-003,LEGACY_DOC,PAPER,UNRESOLVED,PAPER,1,MEDIUM,filename=D-储药槽的设计.doc; parent=2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计; membership and MF41 OLE audit,Directory and filename semantics identify an award-paper research object; binary DOC content remains unextracted and therefore requires a future DOC contract,READY_FOR_DOC_CONTRACT,0
CUMCM-2021-A-A028,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-A-A115,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-A-A217,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-B-B007,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-B-B026,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-B-B050,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-B-B106,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-C-C066,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-C-C085,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-C-C169,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-C-C283,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-D-D017,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-D-D026,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-D-D034,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-E-E014,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-E-E025,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2021-E-E037,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2022-C-C229,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
CUMCM-2022-E-E014,IMAGE_SEQUENCE,PAPER,UNRESOLVED,PAPER,1,HIGH,OCR derivative first pages and terminal pages; page-level provenance and 799-page contract audit,sequential image set under an explicit national-contest excellent-paper directory; OCR evidence contains title/abstract or model/problem-solving structure,READY_FOR_ARTIFACT_EXISTING_EXTRACTION,0
