paper_id,year,problem,subject_type,artifact_eligible,eligibility_reason,evidence,review_status,primary_file,primary_extension
CUMCM-1995-B-002,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车作业调度的随机性分析.pdf,.pdf
CUMCM-1995-B-003,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度模型.pdf,.pdf
CUMCM-1995-B-004,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车冶炼炉作业调度的活动网络模型.pdf,.pdf
CUMCM-1995-B-005,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的作业调度.pdf,.pdf
CUMCM-1995-B-006,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉作业调度的Petri网模型.pdf,.pdf
CUMCM-1995-B-007,1995,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1995年数学建模国赛真题+优秀论文/1995年国赛优秀论文/1995B：天车与冶炼炉的操作模型.pdf,.pdf
CUMCM-1996-A-001,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：持续高产捕鱼策略.pdf,.pdf
CUMCM-1996-A-002,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略的设计.pdf,.pdf
CUMCM-1996-A-003,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼模型.pdf,.pdf
CUMCM-1996-A-004,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略.pdf,.pdf
CUMCM-1996-A-005,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略模型.pdf,.pdf
CUMCM-1996-A-006,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题.pdf,.pdf
CUMCM-1996-A-007,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最优捕鱼策略问题答卷评述.pdf,.pdf
CUMCM-1996-A-008,1996,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996A：最佳捕鱼策略的数学模型.pdf,.pdf
CUMCM-1996-B-001,1996,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,.pdf
CUMCM-1996-B-002,1996,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：关于洗衣机节水的数学模型.pdf,.pdf
CUMCM-1996-B-003,1996,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机的设计.pdf,.pdf
CUMCM-1996-B-004,1996,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：洗衣机的节水优化模型.pdf,.pdf
CUMCM-1997-A-001,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(2).pdf,.pdf
CUMCM-1997-A-002,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数的优化设计.pdf,.pdf
CUMCM-1997-A-003,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数设计的动态规划模型.pdf,.pdf
CUMCM-1997-A-004,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计（4）.pdf,.pdf
CUMCM-1997-A-005,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(3).pdf,.pdf
CUMCM-1997-A-006,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件参数设计的数学模型.pdf,.pdf
CUMCM-1997-A-007,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计模型和评述.pdf,.pdf
CUMCM-1997-A-008,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：零件的参数设计(1).pdf,.pdf
CUMCM-1997-A-009,1997,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997A：关于零件参数问题的建模.pdf,.pdf
CUMCM-1997-B-001,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割中的最优排列问题.pdf,.pdf
CUMCM-1997-B-002,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：最小费用切割策略.pdf,.pdf
CUMCM-1997-B-003,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割的最优方案.pdf,.pdf
CUMCM-1997-B-004,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：截断切割优化模型.pdf,.pdf
CUMCM-1997-B-005,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：切割次序的优化.pdf,.pdf
CUMCM-1997-B-006,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：最优切割次序模型.pdf,.pdf
CUMCM-1997-B-007,1997,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1997年数学建模国赛真题+优秀论文/1997年国赛优秀论文/1997B：长方体材料截断切割的优化设计.pdf,.pdf
CUMCM-1998-A-001,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资收益与风险的优化模型.pdf,.pdf
CUMCM-1998-A-002,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资本市场的最佳投资组合.pdf,.pdf
CUMCM-1998-A-003,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：风险投资分析.pdf,.pdf
CUMCM-1998-A-004,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资产投资收益与风险模型.pdf,.pdf
CUMCM-1998-A-005,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：一类投资组合问题的建模与分析.pdf,.pdf
CUMCM-1998-A-006,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资组合模型.pdf,.pdf
CUMCM-1998-A-007,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：投资组合与模糊规划模型.pdf,.pdf
CUMCM-1998-A-008,1998,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：风险投资组合的线性规划模型.pdf,.pdf
CUMCM-1998-B-001,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视路线的设计.pdf,.pdf
CUMCM-1998-B-002,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视路线最优解的证明.pdf,.pdf
CUMCM-1998-B-003,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视的最佳路线.pdf,.pdf
CUMCM-1998-B-004,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视路线寻优模型.pdf,.pdf
CUMCM-1998-B-005,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：最佳灾情巡视路线的数学模型.pdf,.pdf
CUMCM-1998-B-006,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：灾情巡视的最佳路线_节选_.pdf,.pdf
CUMCM-1998-B-007,1998,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998B：多旅行商路线的几个问题.pdf,.pdf
CUMCM-1999-A-001,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理的数学模型.pdf,.pdf
CUMCM-1999-A-002,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：车床管理优化模型.pdf,.pdf
CUMCM-1999-A-003,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理（1）.pdf,.pdf
CUMCM-1999-A-004,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：最优刀具更换周期上界_检查间隔下界的证明.pdf,.pdf
CUMCM-1999-A-005,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：刀具问题的仿真及灵敏度分析.pdf,.pdf
CUMCM-1999-A-006,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理（2）.pdf,.pdf
CUMCM-1999-A-007,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床管理建模分析.pdf,.pdf
CUMCM-1999-A-008,1999,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999A：自动化车床最优刀具检测更换模型.pdf,.pdf
CUMCM-1999-B-001,1999,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局问题评述.pdf,.pdf
CUMCM-1999-B-002,1999,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局的设计.pdf,.pdf
CUMCM-1999-B-003,1999,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局.pdf,.pdf
CUMCM-1999-B-004,1999,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局的数学模型.pdf,.pdf
CUMCM-1999-B-005,1999,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局模型.pdf,.pdf
CUMCM-1999-C-001,1999,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积模型.pdf,.pdf
CUMCM-1999-C-002,1999,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积经费问题的几点讨论.pdf,.pdf
CUMCM-1999-C-003,1999,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999C：煤矸石堆积问题的解答及引出的思考.pdf,.pdf
CUMCM-2000-A-001,2000,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列中的结构与简化模型.pdf,.pdf
CUMCM-2000-A-002,2000,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列分类的数学模型.pdf,.pdf
CUMCM-2000-A-003,2000,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：关于DNA序列分类问题的模型.pdf,.pdf
CUMCM-2000-A-004,2000,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列的分类.pdf,.pdf
CUMCM-2000-A-005,2000,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA分类模型.pdf,.pdf
CUMCM-2000-A-006,2000,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000A：DNA序列的分类模型.pdf,.pdf
CUMCM-2000-B-001,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购与运输问题.pdf,.pdf
CUMCM-2000-B-002,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：管道订购和运输.pdf,.pdf
CUMCM-2000-B-003,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：一类运输问题的建模.pdf,.pdf
CUMCM-2000-B-004,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管订购和运输策略.pdf,.pdf
CUMCM-2000-B-005,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管的订购和运输解答模型.pdf,.pdf
CUMCM-2000-B-006,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：钢管的订购和运输.pdf,.pdf
CUMCM-2000-B-007,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：一类运输问题的建模1.pdf,.pdf
CUMCM-2000-B-008,2000,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000B：订购和运输钢管的最优方案.pdf,.pdf
CUMCM-2000-C-001,2000,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极的数学模型 (2).pdf,.pdf
CUMCM-2000-C-002,2000,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：航程计算的数学模型.pdf,.pdf
CUMCM-2000-C-003,2000,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极的数学模型.pdf,.pdf
CUMCM-2000-C-004,2000,C,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000C：飞越北极.pdf,.pdf
CUMCM-2000-D-001,2000,D,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测.pdf,.pdf
CUMCM-2000-D-002,2000,D,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测问题及有关情况.pdf,.pdf
CUMCM-2000-D-003,2000,D,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2000年数学建模国赛真题+优秀论文/2000年国赛优秀论文/2000D：空洞探测的最优解法.pdf,.pdf
CUMCM-2001-A-001,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管切片的三维重建.pdf,.pdf
CUMCM-2001-A-002,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题.pdf,.pdf
CUMCM-2001-A-003,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：利用切片的二维空间相关操作实现血管的三维重建.pdf,.pdf
CUMCM-2001-A-004,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管的三维重建.pdf,.pdf
CUMCM-2001-A-005,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：管道切片的三维重建.pdf,.pdf
CUMCM-2001-A-006,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：管道切片的三维重建 (2).pdf,.pdf
CUMCM-2001-A-007,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管管道的三维重建 (2).pdf,.pdf
CUMCM-2001-A-008,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管三维重建的问题A.pdf,.pdf
CUMCM-2001-A-009,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管切片的三维重建 (2).pdf,.pdf
CUMCM-2001-A-010,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：旋转抛物面聚光效果的研究.pdf,.pdf
CUMCM-2001-A-011,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管管道的三维重建.pdf,.pdf
CUMCM-2001-A-012,2001,A,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001A：血管的三维重建 (2).pdf,.pdf
CUMCM-2001-B-001,2001,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001B：公交车调度优化模型.pdf,.pdf
CUMCM-2001-B-002,2001,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001B：对于公交汽车调度问题的求解.pdf,.pdf
CUMCM-2001-B-003,2001,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001B：关于公交车调度的优化问题.pdf,.pdf
CUMCM-2001-B-004,2001,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001B：公交车调度的规划数学模型.pdf,.pdf
CUMCM-2001-B-005,2001,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001B：公交车调度问题的数学模型.pdf,.pdf
CUMCM-2001-B-006,2001,B,PAPER,1,paper directory signal,primary path is under an explicit paper/award-paper directory,PASS,2001年数学建模国赛真题+优秀论文/2001年国赛优秀论文/2001B：公交车调度.pdf,.pdf
