sample_order,paper_id,year,problem,stratum,selection_score,sample_reason,membership_count,page_count,page_a,page_b,page_c,page_a_classification,page_b_classification,page_c_classification,risk_flags,source_path,source_sha256,render_source_path,render_source_sha256,artifact_set_path,index_record_status,artifact_set_sha256,provenance_reference,review_package_path
11,CUMCM-1998-A-004,1998,A,Q3_OCR_DERIVED,4B39A7D91B185192ED435E88F81EA2FEBA3AAA61BA2FCFC63C4B0311B73450E2,deterministic year coverage,1,6,1,3,6,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资产投资收益与风险模型.pdf,A2BA24A7F0415E57FBEC4C627742E09DD4A40BE2944B9A50ECE16405F2176FB3,1998年数学建模国赛真题+优秀论文/1998年国赛优秀论文/1998A：资产投资收益与风险模型.pdf,A2BA24A7F0415E57FBEC4C627742E09DD4A40BE2944B9A50ECE16405F2176FB3,derived/scale/papers/CUMCM-1998-A-004,PASS,0FEC6EA8EFD4484066CD05FC7C368033EC77F6193C9AEDB764A8C28FEA400BF7,catalog/scale/g8_q3_batch_repair/CUMCM-1998-A-004/manifest.json,reports/scale/g11_manual_sample_review/11_CUMCM-1998-A-004
12,CUMCM-2002-A-014,2002,A,Q3_OCR_DERIVED,2773E1EF3CA2EFD9381E3FD974533F40DA8BBB9940A6E6B5DD267BD4167B20E7,deterministic year coverage,1,9,1,5,9,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计问题 (2).pdf,65B3EF4D427C379FCE2F7D42D2F97E14C8C98F05F7567511ACB4B47E89884DC7,2002年数学建模国赛真题+优秀论文/2002年优秀论文/2002A：车灯线光源的优化设计问题 (2).pdf,65B3EF4D427C379FCE2F7D42D2F97E14C8C98F05F7567511ACB4B47E89884DC7,derived/scale/papers/CUMCM-2002-A-014,PASS,7A5901D34CC4756DFBBF22B8FF0FC9648571A08BCCAD75ACF4C2A7DDDD0DDA3F,catalog/scale/g8_q3_batch_repair/CUMCM-2002-A-014/manifest.json,reports/scale/g11_manual_sample_review/12_CUMCM-2002-A-014
13,CUMCM-2011-D-001,2011,D,DOC_REMEDIATED,19465D883D91724C31D64B955AD2AB67A1112A50A34E0F59AFAE6A6CAF558914,deterministic year coverage,1,22,1,11,22,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,DOC_EXISTING_CONVERSION_EVIDENCE,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011D：天然肠衣搭配问题(1)/一类肠衣搭配优化问题.doc,A54963631C73100E2A26B41E91070384F60C7AE57B13789F2212145149EE6D2D,derived/scale/doc_batch/CUMCM-2011-D-001/source_converted.pdf,BB9DE03E3E434AF41B4DC6AF850D179D29B35FB78FDAE5BBA93A302EE0A9C1E6,derived/scale/papers/CUMCM-2011-D-001,PASS,65F522289DE69EDF373F49D0D7622A01FF9A2B605FE4519A576D281E1DD1B9B8,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-D-001/manifest.json,reports/scale/g11_manual_sample_review/13_CUMCM-2011-D-001
14,CUMCM-2012-D-001,2012,D,DOC_REMEDIATED,185FB5918315F6BFA11CB9F316561B9F0BCF250B9333E1A6431B21B503235077,deterministic year coverage,1,24,1,12,24,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,DOC_EXISTING_CONVERSION_EVIDENCE,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012D：机器人避障问题 (2).doc,D93A9A6A9DE012927F8A5D4B36E1768CA3F6AFFB6952673F40FE2740D4032766,tmp/g8_doc_2012_d001_manual_print_to_pdf/CUMCM-2012-D-001/manual_print_candidate.pdf,CBE28049A80C0B900CF82A0BE06492A906D56B39F27819D6F94C67C6FF349399,derived/scale/papers/CUMCM-2012-D-001,PASS,39FAE6A92A3E2583E32C4FAC3055F582F164CF7DB9037A366CE0F8CC8F1B3EEF,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-D-001/manifest.json,reports/scale/g11_manual_sample_review/14_CUMCM-2012-D-001
15,CUMCM-2013-D-001,2013,D,DOC_REMEDIATED,2668040F350D32121C38B95B21FA86E87C48FA7B4C89B221F8431929B4F2BACC,deterministic year coverage,1,81,1,41,81,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,DOC_EXISTING_CONVERSION_EVIDENCE,2013年数学建模国赛真题+优秀论文/2013D：城市公共自行车服务系统运行状况和效率分析/论文.doc,955CC7179247EDA8AD6EBB74CFD1233D514D9F80A809B0C2EB244BEACABAFDEA,derived/scale/doc_contract_pilot_interactive/CUMCM-2013-D-001/source_converted.pdf,3C560062FFD7F9F4E855926AD051346D4FC2366C0052D80159836E1A007812A4,derived/scale/papers/CUMCM-2013-D-001,PASS,8EBCF32F3857F859DD936CD598EDB9B3696521D10CF6F2E64B551B41DC4CFD1B,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2013-D-001/manifest.json,reports/scale/g11_manual_sample_review/15_CUMCM-2013-D-001
16,CUMCM-2014-D-003,2014,D,DOC_REMEDIATED,6A49FC02FCE2986AB37EA11F4746C60229AC1E50DB8632899F20CE170D477BA6,deterministic year coverage,1,33,1,17,33,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,DOC_EXISTING_CONVERSION_EVIDENCE,2014年数学建模国赛真题+优秀论文/2014优秀论文/2014D：储药槽的设计/D-储药槽的设计.doc,2C45B7888C43355B39D0BC01726D842D4744C55DC1E2F8AF829B7DB9D8D4AA35,derived/scale/doc_contract_pilot_interactive/CUMCM-2014-D-003/source_converted.pdf,00C0D4361A59E3D5F1E97FBE7DAF28B60FCDDA9C26EBF435182C9F6961EB360C,derived/scale/papers/CUMCM-2014-D-003,PASS,E859A56E6E2FA62B2638BF7A2F11C64D89720B6787C08497CF12ACDC3D3A8882,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2014-D-003/manifest.json,reports/scale/g11_manual_sample_review/16_CUMCM-2014-D-003
17,CUMCM-2011-A-003,2011,A,DOC_REMEDIATED,6A90EACC870A291F90A42DB4735A9BAF832FF0BEAC58ED092C8A6B04FCE1EEA4,deterministic problem coverage,1,16,1,8,16,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,DOC_EXISTING_CONVERSION_EVIDENCE,2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011A：城市表层土壤重金属污染分析（6）.doc,FDA40E0C371BD0C91806B4CB581162EC0F1C3B51A7CAEF492EDD71D6E602E038,derived/scale/doc_batch/CUMCM-2011-A-003/source_converted.pdf,1C5836385FC251303FB4E5B01B6D22093D74CC9C4EC2AD360B09987616C15291,derived/scale/papers/CUMCM-2011-A-003,PASS,3ADFA7DB50BAC7A4D3AB7B1624452D49EBBF647187D908E3F2DFBC525186C04A,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2011-A-003/manifest.json,reports/scale/g11_manual_sample_review/17_CUMCM-2011-A-003
18,CUMCM-2012-B-007,2012,B,DOC_REMEDIATED,488714139E7EA6867B49D2D2068064BB731111926A8AA12AE696A525E26B6DE1,deterministic problem coverage,1,33,1,17,33,FIRST_SUBSTANTIVE_PERSISTED_PAGE,MIDDLE_SUBSTANTIVE_PERSISTED_PAGE,LAST_SUBSTANTIVE_PERSISTED_PAGE,DOC_EXISTING_CONVERSION_EVIDENCE,2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012B：太阳能小屋的设计 (2)/10121505.doc,F34850D4339E358C6A8C548224CEC919AFAA1B0F4ADB660A81114C20D717015F,derived/scale/doc_batch/CUMCM-2012-B-007/source_converted.pdf,547312CD5D3F57EB29292892142E79DE98B75C19C1D526ACB69B9EE834A3AA21,derived/scale/papers/CUMCM-2012-B-007,PASS,6429D6F93CA01E871CC52F3E774AB9887AF0FF6E206B4EC4ED8CE4575FE6DBE5,catalog/scale/g8_doc_authoritative_extraction_text/CUMCM-2012-B-007/manifest.json,reports/scale/g11_manual_sample_review/18_CUMCM-2012-B-007
19,CUMCM-1999-B-003,1999,B,OTHER_FORMAL_DERIVED,008C0C3B5324F87C9591D12690863856A52BB26A925E2EDA43C9A6C992E0C722,GOVERNED_DUPLICATE_SAMPLE: duplicate body hash but distinct logical identity,1,6,1,3,6,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,GOVERNED_DUPLICATE,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局.pdf,E837A050E1F8C8FBACEF5C9614A37002858951C7AD98B2E2F051456B010AC568,1999年数学建模国赛真题+优秀论文/1999年国赛优秀论文/1999B：钻井布局.pdf,E837A050E1F8C8FBACEF5C9614A37002858951C7AD98B2E2F051456B010AC568,derived/scale/papers/CUMCM-1999-B-003,PASS,FF6AD2D8EF962FFBCBA7E0E4304F3D7671F744ABEE29D230E1F34FCC294B55DC,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/19_CUMCM-1999-B-003
20,CUMCM-2008-C-004,2008,C,OTHER_FORMAL_DERIVED,009E87CDFE17F0C88BE29FECD0CEB7F7FDD9DD5A686C976C44AA86EA6BB0665E,GOVERNED_DUPLICATE_SAMPLE: duplicate body hash but distinct logical identity,1,14,1,7,14,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,GOVERNED_DUPLICATE,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008C：《地面搜索的优化模型》.pdf,73FEE41DA723C0FA080D0E3050B8585405510151FB6AEF69FEE292972D29F045,2008年数学建模国赛真题+优秀论文/2008年优秀论文/2008C：《地面搜索的优化模型》.pdf,73FEE41DA723C0FA080D0E3050B8585405510151FB6AEF69FEE292972D29F045,derived/scale/papers/CUMCM-2008-C-004,PASS,6EF371398933D493F17196D06437D311D23CA2BE8D1FFC11C9E3314F72AC2567,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/20_CUMCM-2008-C-004
21,CUMCM-2022-E-E014,2022,E,OTHER_FORMAL_DERIVED,05BAC304605F98344D9544E95C14677E3D7E64FBC8DCD39EC30836A73F6FCC17,MULTI_MEMBERSHIP_SAMPLE: multiple source memberships remain one logical paper,24,24,1,12,24,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,MULTI_MEMBERSHIP,2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文E题E014/8122239.jpg,DFA068914E29070A744E23D89E0A2AF25027025A945BF5B8F9C04756FB00EAA8,2022年数学建模国赛真题+优秀论文/2022年国赛优秀论文E题E014/8122239.jpg,DFA068914E29070A744E23D89E0A2AF25027025A945BF5B8F9C04756FB00EAA8,derived/scale/papers/CUMCM-2022-E-E014,PASS,8038176E50C1395BDF5B2325A1955C9C73070CA3D89E91B35AC5022CAA57BA47,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/21_CUMCM-2022-E-E014
22,CUMCM-2021-C-C085,2021,C,OTHER_FORMAL_DERIVED,1B1F080385A982A1A8445374AC19F594AB42C4A2E2F23D6E09ED1F80CC02D4F9,MULTI_MEMBERSHIP_SAMPLE: multiple source memberships remain one logical paper,56,56,1,28,56,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,MULTI_MEMBERSHIP,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C085/C1.jpg,24D7E77815731CDAD56457C691FB63EFD8A1ABD70A15FF6E9519549B6C008449,2021年数学建模国赛真题+优秀论文/2021年国赛优秀论文C题-C085/C1.jpg,24D7E77815731CDAD56457C691FB63EFD8A1ABD70A15FF6E9519549B6C008449,derived/scale/papers/CUMCM-2021-C-C085,PASS,D4117B101C99C29F453EFD0853352A477EE1F46699F7EEEC9A2E53774E89DF91,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/22_CUMCM-2021-C-C085
23,CUMCM-1992-A-003,1992,A,OTHER_FORMAL_DERIVED,5071DBA72A3ADE4A343687D252A93788430F6A5E295CC68B5A42AE794AB109A4,deterministic year coverage,1,5,1,3,5,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,GOVERNED_DUPLICATE,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,1992年数学建模国赛优秀论文/1992年A题优秀论文③ 关于非线性交调的频率设计的评注.pdf,F24E48AE1113A02C6ADCF3339392D8B2C9A1449BE1A64FB2DE3D8543A8066E12,derived/scale/papers/CUMCM-1992-A-003,PASS,7333D5A7E4F38CDB55C7103FE7F80C946061934B0ECEF4DD8639B33C754E8EF2,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/23_CUMCM-1992-A-003
24,CUMCM-1993-B-001,1993,B,OTHER_FORMAL_DERIVED,05B1C6983D12E9B999AFB86B4889EE9B09D2129C9EC8F6201857584DDE29170B,deterministic year coverage,1,2,1,1,2,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,GOVERNED_DUPLICATE,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,9754E4494E59EC79D460387BED3D9B8D8E2B915DCF9E192E7E1DD363F0086EDA,1993年数学建模国赛真题+优秀论文/1993年国赛优秀论文/1993年B题优秀论文② 足球排名次问题.pdf,9754E4494E59EC79D460387BED3D9B8D8E2B915DCF9E192E7E1DD363F0086EDA,derived/scale/papers/CUMCM-1993-B-001,PASS,DE3E3158AC7216C70764AABECFA7D13E7A023B32208020C8F958F5CFA864828C,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/24_CUMCM-1993-B-001
25,CUMCM-1996-B-001,1996,B,OTHER_FORMAL_DERIVED,0CD0BD8DB3B13C2B97EDD62F39BAE3BBCA2EB2A884472BEE21E7C0124151AA62,deterministic year coverage,1,5,1,3,5,FIRST_PAGE_FROM_FROZEN_PAGE_COUNT,MIDDLE_PAGE_FROM_FROZEN_PAGE_COUNT,LAST_PAGE_FROM_FROZEN_PAGE_COUNT,GOVERNED_DUPLICATE,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,1996年数学建模国赛真题+优秀论文/1996年国赛优秀论文/1996B：节水洗衣机问题数学建模及若干评注.pdf,6EF9201798BF3E216638A2B044038F05712CE4507B9E00192554895DC96D4278,derived/scale/papers/CUMCM-1996-B-001,PASS,DA62DCA9D8DD88BCE6DDBBC6D9A5DD97E6986D48F9745201249744A7171061D2,catalog/scale/g9_paper_index.csv,reports/scale/g11_manual_sample_review/25_CUMCM-1996-B-001
