"relation_id","duplicate_group","sha256","member_count","source_path","target_path","relation_type","source_entity_type","target_entity_type","confidence","evidence","status","created_at"
"DUP-704A3A49-0-1","DG00011","704A3A4997E7B48A169F8C752DCD86A479AD97D9CD3DECBCE8B8ECA86532E3C3","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/fanz.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/fanz.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-6D689646-0-1","DG00012","6D689646E4FF491E9A4A3B2C6974C0D60E76F56049367349E01B772115470CB5","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/fanzhuan.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/fanzhuan.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-308882E3-0-1","DG00013","308882E3ADC2D8D39944894EE2CA5514DC7BBD2CDC3D3BEBCBA276A56B07237A","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/guihua.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/guihua.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-12CAE639-0-1","DG00014","12CAE639F3190267BFDFA3832DB734789551379E9346620A6F09DFEB0129739C","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/huatu.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/huatu.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-8F5AE90F-0-1","DG00015","8F5AE90FAE1980B6BF3434C06563F839C5277520F9BFBD37D494A212F918EB1C","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/jiekou.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/jiekou.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-38974176-0-1","DG00016","389741764879822D100A3AB4758DAA71E76F991CA2372D0888D09BFD2799BCC3","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/juli.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/juli.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-38974176-0-2","DG00016","389741764879822D100A3AB4758DAA71E76F991CA2372D0888D09BFD2799BCC3","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/juli.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/juli.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-38974176-1-2","DG00016","389741764879822D100A3AB4758DAA71E76F991CA2372D0888D09BFD2799BCC3","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/juli.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/juli.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-16D4C335-0-1","DG00017","16D4C3351689CC0E615E81ECD95E008B68478AA3B6D9F619DE2B0895D5B1E74B","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/kaist.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/kaist.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-110A18CC-0-1","DG00018","110A18CCC4C02B2CB0D610472E0D42D2FAD9451775D95066761C25D683C09F70","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/lujing.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/lujing.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-110A18CC-0-2","DG00018","110A18CCC4C02B2CB0D610472E0D42D2FAD9451775D95066761C25D683C09F70","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/lujing.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/lujing.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-110A18CC-1-2","DG00018","110A18CCC4C02B2CB0D610472E0D42D2FAD9451775D95066761C25D683C09F70","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/lujing.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/lujing.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-BD2C88B6-0-1","DG00019","BD2C88B6644C2003AF5950DCF10BA2F7C11B13F47A7F23CA233D2C9C1469B051","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/sxuan.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/sxuan.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-1A0007CE-0-1","DG00020","1A0007CE6809317EE02936DEB7380980DFAF2E608123258399880461DE76575B","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/sxuan2.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/sxuan2.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-4C5E82BB-0-1","DG00021","4C5E82BBFD5E5D4289B71788D911C43DF0B86507D70FCC7A9CDAADC9B389FE27","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xiaozhen.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xiaozhen.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-A9A94587-0-1","DG00022","A9A9458774BD01177D9562F27BE11B4494FE8878F46AD10BCA33E92065615C8C","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xuanz1.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xuanz1.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-F9F15517-0-1","DG00023","F9F155177160931C27CB3E249657ADE85F8098407B1E86CB638B548CDD442C5F","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xuanz2.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xuanz2.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-D86EA78F-0-1","DG00024","D86EA78F07B84D16FA11A6832C090E6E1FFF5E9F393D51A66FEC4E17E1981193","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xuanz3.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xuanz3.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-EE2F4647-0-1","DG00025","EE2F464706453220664B1AB67B26AFE3B2289812CADDD1CF230F2ADA0A516EE4","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuidl.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuidl.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-EE2F4647-0-2","DG00025","EE2F464706453220664B1AB67B26AFE3B2289812CADDD1CF230F2ADA0A516EE4","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuidl.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/zuidl.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-EE2F4647-1-2","DG00025","EE2F464706453220664B1AB67B26AFE3B2289812CADDD1CF230F2ADA0A516EE4","3","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuidl.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/zuidl.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-5B4AE906-0-1","DG00026","5B4AE9064790078C027EE97130A975608D9024A8D44F1A698ADAC5E191A20F2B","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuiduanlu.m","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuiduanlu.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-3C879FF9-0-1","DG00027","3C879FF9F5E032966F4C24407DE831E699AE06AEE70BEC53E321C8C7B41386E6","2","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuobiao.mat","2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuobiao.mat","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-8C17FF2A-0-1","DG00028","8C17FF2A1B8C56E241586FFB683B8F8B1A0869572CD25C7AE4EF6FB6BE3E77F4","2","2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价/系数1.xls","2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价/系数2.xls","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-789C9F0A-0-1","DG00029","789C9F0A47A8D5AF2C07C99980C7C467B6319CD5CD2106C500B9CEA416E141C6","2","2013年数学建模国赛真题+优秀论文/全国大学生数学建模竞赛参赛规则2013.pdf","2014年数学建模国赛真题+优秀论文/2014年赛题/全国大学生数学建模竞赛参赛规则.pdf","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-529C37F5-0-1","DG00030","529C37F5DA49B4773E2321B74A4EEF365EBA203A359420C49D896BA2F1009EC4","4","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题一的程序/jz01zh.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题三的程序/jz01zh.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-529C37F5-0-2","DG00030","529C37F5DA49B4773E2321B74A4EEF365EBA203A359420C49D896BA2F1009EC4","4","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题一的程序/jz01zh.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件三的程序/jz01zh.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-529C37F5-0-3","DG00030","529C37F5DA49B4773E2321B74A4EEF365EBA203A359420C49D896BA2F1009EC4","4","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题一的程序/jz01zh.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件四的程序/jz01zh.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-529C37F5-1-2","DG00030","529C37F5DA49B4773E2321B74A4EEF365EBA203A359420C49D896BA2F1009EC4","4","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题三的程序/jz01zh.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件三的程序/jz01zh.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-529C37F5-1-3","DG00030","529C37F5DA49B4773E2321B74A4EEF365EBA203A359420C49D896BA2F1009EC4","4","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题三的程序/jz01zh.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件四的程序/jz01zh.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-529C37F5-2-3","DG00030","529C37F5DA49B4773E2321B74A4EEF365EBA203A359420C49D896BA2F1009EC4","4","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件三的程序/jz01zh.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件四的程序/jz01zh.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-4E8B17C9-0-1","DG00031","4E8B17C91D93968D6BECBB784766E4371DA45CE7F91B8817F71A46BA779F308B","2","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件三的程序/tiqushuju.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件四的程序/tiqushuju_4.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-FAE8BE3A-0-1","DG00032","FAE8BE3A13A3FAA92E5B72412955E3BBD5FFDF9E987493901D81FAC3961786BC","2","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件1的解决/dropPool.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件2的解决/dropPool.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
"DUP-0D2A4F87-0-1","DG00033","0D2A4F876DACF00FA69E4CF0552C62C8270F0A9318825F05A92DC506ECE6DA42","2","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件1的解决/rowDetect.m","2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件2的解决/rowDetect.m","exact_duplicate","file","file","high","SHA-256 match","active","2026-08-18T22:38:22+08:00"
