duplicate_group,file_count,paths,sha256,size_bytes
duplicate_4d2c50c21324f5b8,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/fanz.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/fanz.mat""]",704a3a4997e7b48a169f8c752dcd86a479ad97d9cd3decbce8b8eca86532e3c3,5193
duplicate_626579d63fa90641,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/fanzhuan.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/fanzhuan.m""]",6d689646e4ff491e9a4a3b2c6974c0d60e76f56049367349e01b772115470cb5,874
duplicate_d497251a2c2894b7,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/guihua.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/guihua.m""]",308882e3adc2d8d39944894ee2ca5514dc7bbd2cdc3d3bebcba276a56b07237a,440
duplicate_d7c9b7455d9e23b4,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/huatu.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/huatu.m""]",12cae639f3190267bfdfa3832db734789551379e9346620a6f09dfeb0129739c,617
duplicate_74c73e00b37de1af,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/jiekou.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/jiekou.mat""]",8f5ae90fae1980b6bf3434c06563f839c5277520f9bfbd37d494a212f918eb1c,242
duplicate_dc00040eea7b39ae,3,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/juli.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/juli.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/juli.mat""]",389741764879822d100a3ab4758daa71e76f991ca2372d0888d09bfd2799bcc3,2369179
duplicate_a59e871c1cbe3837,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/kaist.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/kaist.m""]",16d4c3351689cc0e615e81ecd95e008b68478aa3b6d9f619de2b0895d5b1e74b,842
duplicate_7e300391a37d8376,3,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/lujing.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/lujing.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/lujing.mat""]",110a18ccc4c02b2cb0d610472e0d42d2fad9451775d95066761c25d683c09f70,2421
duplicate_969190060c6f1cf8,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/sxuan.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/sxuan.m""]",bd2c88b6644c2003af5950dcf10ba2f7c11b13f47a7f23ca233d2c9c1469b051,377
duplicate_f5946ef385aec22c,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/sxuan2.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/sxuan2.m""]",1a0007ce6809317ee02936deb7380980dfaf2e608123258399880461de76575b,154
duplicate_22d6e9294cdbb756,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xiaozhen.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xiaozhen.m""]",4c5e82bbfd5e5d4289b71788d911c43df0b86507d70fcc7a9cdaadc9b389fe27,238
duplicate_25d81ed2a81bb248,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xuanz1.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xuanz1.m""]",a9a9458774bd01177d9562f27be11b4494fe8878f46ad10bca33e92065615c8c,704
duplicate_0049ef64884a82bb,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xuanz2.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xuanz2.m""]",f9f155177160931c27cb3e249657ade85f8098407b1e86cb638b548cdd442c5f,177
duplicate_6d6c2c45b9d7d538,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/xuanz3.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/xuanz3.m""]",d86ea78f07b84d16fa11a6832c090e6e1fff5e9f393d51a66fec4e17e1981193,320
duplicate_935cb4b4a84de7d5,3,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuidl.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuidl.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题四matlab程序/zuidl.mat""]",ee2f464706453220664b1ab67b26afe3b2289812caddd1cf230f2ada0a516ee4,2362887
duplicate_8a7fa2eb3cae7d52,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuiduanlu.m"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuiduanlu.m""]",5b4ae9064790078c027ee97130a975608d9024a8d44f1a698adac5e191a20f2b,530
duplicate_9566a60a9171b624,2,"[""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序动态围堵/zuobiao.mat"", ""2011年数学建模国赛真题+优秀论文/2011年优秀论文/2011B：交巡警服务平台的设置与调度（3）/论文程序/源程序/问题五matlab程序静态围堵/zuobiao.mat""]",3c879ff9f5e032966f4c24407de831e699ae06aee70bec53e321c8c7b41386e6,2422
duplicate_e4b2de97448c8726,2,"[""2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价/系数1.xls"", ""2012年数学建模国赛真题+优秀论文/2012年优秀论文/2012A：葡萄酒的评价/系数2.xls""]",8c17ff2a1b8c56e241586ffb683b8f8b1a0869572cd25c7ae4ef6fb6be3e77f4,6144
duplicate_b305a2ebfe7fbb10,4,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题一的程序/jz01zh.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题三的程序/jz01zh.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件三的程序/jz01zh.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件四的程序/jz01zh.m""]",529c37f5da49b4773e2321b74a4eef365eba203a359420c49d896ba2f1009ec4,241
duplicate_24ff1b9b0e0eea6c,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件三的程序/tiqushuju.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (2)/国赛B题数据及源程序/问题二的程序/附件四的程序/tiqushuju_4.m""]",4e8b17c91d93968d6becbb784766e4371da45ce7f91b8817f71a46ba779f308b,611
duplicate_a1ca03b6942d0030,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件1的解决/dropPool.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件2的解决/dropPool.m""]",fae8be3a13a3faa92e5b72412955e3bbd5ffdf9e987493901d81fac3961786bc,439
duplicate_88f7cc2fd1dad646,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件1的解决/rowDetect.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件2的解决/rowDetect.m""]",0d2a4f876dacf00fa69e4cf0552c62c8270f0a9318825f05a92dc506ece6da42,687
duplicate_5beaff7c01f2f78d,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件1的解决/similar.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题一附件2的解决/similar.m""]",e0f47ba3301faf5b20e33313a4fea888e3fd576dfae764a029b0e863a3b32bab,340
duplicate_e9793fe96151746a,3,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/RightToLeftMatch.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件3的解决/RightToLeftMatch.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/RightToLeftMatch.m""]",0b7fcf279f1ed3e8af265157ea8165780e685d14c34046d7fb2d77d478b702ca,3390
duplicate_dde5f24e5f196965,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/addPool.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/addPool.m""]",7db3ce9f22f9c0d3c358f84d5afb165e43aa2adb24c0ccff8a648bf815ac374e,180
duplicate_9a7fbabbe0e3eead,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/base.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/base.m""]",5290e63d1f5d1e747c8d27423df1ebc878ba12e65e08faca486a637776c08fce,244
duplicate_cfe0097c018da929,3,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/dis.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件3的解决/dis.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/dis.m""]",e6f9d6e07f1aea5c9c627c0fbf3968729775fc0f6eb94c49ab3bde7902e90333,443
duplicate_65f4e78679496fa6,3,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/dropPool.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件3的解决/dropPool.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/dropPool.m""]",616c161eafd4b69d6cc923d34b7253ebf6b7d9bd36ed86a93ec8e6413bed94de,539
duplicate_ed894d85edf2b30d,3,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/errorDegree.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件3的解决/errorDegree.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/errorDegree.m""]",f6094e5830b46de2fd32a921398809e3e079e311145e3ab48748ebcd16abbb3a,1448
duplicate_fad28cc364b0c077,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/rowSort.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/rowSort.m""]",43d7949cb2728500d7ad9fac9c11f05c8a46094f71c443157abacbcc6859e2c4,1741
duplicate_3f9e6d1021fe9320,3,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/shredPlot.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件3的解决/shredPlot.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/shredPlot.m""]",7d80d0c41bab94268c863459246916793a313346bf8fe0f3eddd9f2d89894a45,613
duplicate_179f98088afe372a,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题三附件5的解决/test.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/test.m""]",f4a5f7e135d21c6cea7ae44f3e658c001cc4308d01dc0129c59455eb07679420,847
duplicate_be3480895b9c6bdd,2,"[""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件3的解决/match.m"", ""2013年数学建模国赛真题+优秀论文/2013B：碎纸片的拼接复原 (3)/源程序代码/问题二附件4的解决/match.m""]",a88b28c5f016dfbc859c67af3248e96ad606b78c85621978e9b9cb735d0a236e,1109
duplicate_59bc0c6c46f04a74,2,"[""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/baihuamoxing.m"", ""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/baihuamoxing2.m""]",920b0f5d9ee0530aed8e5128e012f40f79fdb49bfc7c36c750818b648831c28b,477
duplicate_22c4591fc858ac3b,2,"[""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/fangchengnihe1.asv"", ""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/fangchengnihe1.m""]",b1b644894b2701987ed7855aa3dee1672755d5fcd8553ca9cee4afdacb2f65aa,2491
duplicate_32ccc8f4b409064b,2,"[""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/ff2.asv"", ""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/ff2.m""]",d7320b764ee97ac1061e9a23557e2548ccb66e02c989c3c4b609c9b80b286ef2,119
duplicate_c2cf97bde5745655,2,"[""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/pingmiannihe.asv"", ""2013年数学建模国赛真题+优秀论文/2013C：古塔的变形/pingmiannihe.m""]",8e91c1fd5bf92f7cfbfe09081410208d110481b809d139253d3a0fa370d863e2,13138
duplicate_1ade507cd26bcc3b,2,"[""2013年数学建模国赛真题+优秀论文/全国大学生数学建模竞赛参赛规则2013.pdf"", ""2014年数学建模国赛真题+优秀论文/2014年赛题/全国大学生数学建模竞赛参赛规则.pdf""]",789c9f0a47a8d5af2c07c99980c7c467b6319cd5cd2106c500b9cea416e141c6,144042
duplicate_8fe67908e787e08f,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3)/附件3 距2400m处的数字高程图.tif"", ""2014年数学建模国赛真题+优秀论文/2014年赛题/2014年国赛A题附件 (3).tif""]",c113d66b4f76b8df2659329570fe36dc3612ea80959fe093b8fc35887964ee3f,12432744
duplicate_b75b08036611d5dd,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014A：嫦娥三号软着陆轨道设计与控制策略 (3)/附件4 距月面100m处的数字高程图.tif"", ""2014年数学建模国赛真题+优秀论文/2014年赛题/2014年国赛A题附件 (4).tif""]",df8427dfae55eea185b8750569167c8017b9aed2868c07c9bfd8c3aeae39c7f8,1021808
duplicate_3bded3299ef3fb37,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/confun.m"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/confun.m""]",00c19ae5617480b51e3386fb7ed59eba6611c565b629e188db6fad88e47bcb6b,366
duplicate_ecdfd1b7177dc74b,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/objfun.m"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/objfun.m""]",9340a4e9540d576f2e4c4e07ae7f1ece486b738e8e5d85c6b7d7d9d91aa6a78c,187
duplicate_c5d9a4a0e10d39af,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1-1.jpg"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1-1.jpg""]",d9ffc1effc70bfacdbb9b741215eec0032f75b47858aa84cf8d801cc64204781,39648
duplicate_55c393845fa1c2bb,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1-1.jpg"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1-1.jpg""]",5a2b71dc9829b3e0fa2fe135126a30d28a1c90fe71c1e5edc211fcaff391e872,47270
duplicate_f05075d104fdeecd,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1_1.m"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1_1.m""]",9b198263082ebe8ab025e58f11a09bc89dff52143c9ef55dd473ff7e90fff2ec,855
duplicate_89c49b5357d4c1ad,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1_2.jpg"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1_2.jpg""]",a18db8218086edcd1790c06676e78aacd72f46aaf2509062e1a30907dbf4bb14,203702
duplicate_c3aead9a21552799,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w1_2.m"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w1_2.m""]",294bf637249005a132cb030829e0702b637b8f9e03fb336b9a18aae2505a8688,1473
duplicate_0c0d71a5a8fe52b7,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w2.jpg"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w2.jpg""]",0c5319d2a42f3c43456ce3beac6f3efef403801bc2c11da273dc49b34d25e82a,41896
duplicate_c4f904514b7728c2,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w2_1.m"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w2_1.m""]",ff30425bf6852ab2993c7e0282534aeec9d2447572a6d7465b578f514b74efc0,194
duplicate_0bccd9b57a9edd0c,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w2_2.m"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w2_2.m""]",bb196dbed3173eebaa4e7b2903d2fd7310c33698ee7ecb6168b08da976e7ca49,1677
duplicate_4d2a6e372b369d8a,2,"[""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/B16046004_程双泽_李君昌_陈凌勤/w3_1.jpg"", ""2014年数学建模国赛真题+优秀论文/2014优秀论文/2014B：创意平板折叠桌 (3)/w3_1.jpg""]",9de75648923d274a6893fc76f9e142952d81171fb5ecfe7812dec1625e7200ba,273577
