document_id,year,title,role,document_subtype,problem_id,solution_lineage_id,corpus_eligibility,parse_status,completeness_status,segmentation_status,evidence_status,manual_review_status,award_level,award_level_status,authors,authors_status,preferred_representation_id,representation_count,carrier_count,page_count,sheet_count,figure_reference_count,table_reference_count,notes
cumcm-2016-D-dataset-attachment1-12,2016,D题附件1：2015年12月风电场日实际发电曲线统计表,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete_with_observed_source_anomalies,sheet_region_verified,verified,verified_with_data_issues,not_applicable,not_applicable,unknown,not_observed,rep-2016-012,1,1,,31,0,31,文件名年份为观测数据年份2015，语料归属为2016年D题附件。
cumcm-2016-D-dataset-attachment3,2016,D题附件3：风电场风机型号及其参数,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-033,1,1,3,,0,1,原始Word文件只读；页级证据由转换PDF获取。
cumcm-2016-D-dataset-attachment4,2016,D题附件4：新型号风机主要参数,dataset,official_problem_dataset,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,unknown,not_observed,rep-2016-034,1,1,1,,0,1,原始Word文件只读；页级证据由转换PDF获取。
cumcm-2016-D-paper-01,2016,风电场运行状况分析及维护计划优化,paper,solution_paper,cumcm-2016-problem-D,lin-2016-D-01,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-025,1,1,81,,9,20,
cumcm-2016-D-paper-02,2016,风电场运行状况分析及优化模型,paper,solution_paper,cumcm-2016-problem-D,lin-2016-D-02,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-026,1,1,48,,7,18,
cumcm-2016-D-paper-03,2016,风电场运行状况分析及优化研究,paper,solution_paper,cumcm-2016-problem-D,lin-2016-D-03,eligible,parsed,complete,page_verified,verified,verified,unknown,not_observed,unknown,not_observed,rep-2016-027,1,1,24,,12,19,
cumcm-2016-format-spec,2016,全国大学生数学建模竞赛论文格式规范（2016年修订稿）,commentary,competition_format_specification,not_applicable,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,全国大学生数学建模竞赛组委会,present,rep-2016-035,1,1,5,,0,0,不计入参赛论文。
cumcm-2016-problem-A,2016,A题 系泊系统的设计,problem,official_problem_statement,cumcm-2016-problem-A,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,全国大学生数学建模竞赛组委会,present,rep-2016-028,1,1,3,,1,1,原始Word文件只读；页级证据由LibreOffice转换PDF获取。
cumcm-2016-problem-B,2016,B题 小区开放对道路通行的影响,problem,official_problem_statement,cumcm-2016-problem-B,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,全国大学生数学建模竞赛组委会,present,rep-2016-029,1,1,1,,0,0,原始Word文件只读；页级证据由LibreOffice转换PDF获取。
cumcm-2016-problem-C,2016,C题 电池剩余放电时间预测,problem,official_problem_statement,cumcm-2016-problem-C,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,全国大学生数学建模竞赛组委会,present,rep-2016-030,1,1,2,,0,0,原始Word文件只读；页级证据由LibreOffice转换PDF获取。
cumcm-2016-problem-D,2016,D题 风电场运行状况分析及优化,problem,official_problem_statement,cumcm-2016-problem-D,not_applicable,reference_only,parsed,complete,page_verified_via_conversion,verified,verified,not_applicable,not_applicable,全国大学生数学建模竞赛组委会,present,rep-2016-032,1,1,2,,0,0,原始Word文件只读；页级证据由LibreOffice转换PDF获取。
