logical_document_id,year,role,document_subtype,problem_id,title,corpus_eligibility,parse_status,evidence_status,completeness_status,segmentation_status,preferred_representation_id,representation_count,carrier_count,page_or_region_count,award_level,expert_commentary,notes
2021-paper-C066,2021,paper,competition_solution,C,生产企业原材料订购与运输的评价与规划模型,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-C066-image-series,1,60,60,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-C085,2021,paper,competition_solution,C,基于双层和随机规划的原材料订购与运输问题,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-C085-image-series,1,56,56,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-C169,2021,paper,competition_solution,C,基于优化算法的企业原材料订购与运输规划模型,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-C169-image-series,1,51,51,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-C283,2021,paper,competition_solution,C,双目标贪心优化下的企业原料订购运输方案,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-C283-image-series,1,58,58,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-D017,2021,paper,competition_solution,D,连铸切割的在线优化模型,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-D017-image-series,1,21,21,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-D026,2021,paper,competition_solution,D,连铸切割的在线优化,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-D026-image-series,1,36,36,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-D034,2021,paper,competition_solution,D,连铸切割在线优化的算法设计,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-D034-image-series,1,30,30,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-E014,2021,paper,competition_solution,E,基于机器学习的中药材类别与产地鉴别,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-E014-image-series,1,51,51,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-E025,2021,paper,competition_solution,E,中药材的鉴别,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-E025-image-series,1,39,39,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-paper-E037,2021,paper,competition_solution,E,基于红外光谱法的中药材鉴别,eligible_solution,manually_indexed_from_abstract_and_sampled_pages,verified_identity_and_boundary,complete_representation,complete,rep-2021-paper-E037-image-series,1,37,37,unknown,False,目录名中的编号仅作为文档代码，不推断奖项等级。
2021-problem-A,2021,problem,official_problem_statement,A,“FAST”主动反射面的形状调节,eligible_reference,parsed,verified,complete,complete,rep-2021-problem-A-pdf,1,1,3,not_applicable,False,在促动器伸缩、下拉索长度及相邻节点距离变化约束下确定理想抛物面，给出反射面调节方案，并比较工作抛物面与基准球面的接收比。
2021-problem-B,2021,problem,official_problem_statement,B,乙醇偶合制备C4烯烃,eligible_reference,parsed,verified,complete,complete,rep-2021-problem-B-pdf,1,1,2,not_applicable,False,分析催化剂组合、温度和时间对乙醇转化率及C4烯烃选择性的影响，优化收率并设计5次追加实验。
2021-problem-C,2021,problem,official_problem_statement,C,生产企业原材料的订购与运输,eligible_reference,parsed,verified,complete,complete,rep-2021-problem-C-pdf,1,1,2,not_applicable,False,评价402家供应商，制定24周经济订购和低损耗转运方案，调整材料结构并评估可提升产能。
2021-problem-D,2021,problem,official_problem_statement,D,连铸切割的在线优化,eligible_reference,parsed,verified,complete,complete,rep-2021-problem-D-pdf,1,1,2,not_applicable,False,在正常切割、尾坯和结晶器异常报废段条件下，按切割损失优先、用户目标次优的原则生成实时最优切割方案。
2021-problem-E,2021,problem,official_problem_statement,E,中药材的鉴别,eligible_reference,parsed,verified,complete,complete,rep-2021-problem-E-pdf,1,1,3,not_applicable,False,利用近红外与中红外光谱鉴别中药材类别和产地，研究特征差异并对指定未知样本进行分类。
