logical_document_id,year,problem_id,role,document_subtype,title,language,carrier_count,representation_count,preferred_representation_id,corpus_eligibility,parse_status,completeness_status,segmentation_status,evidence_status,award_level,award_level_basis,solution_content_status,expert_feedback_status,notes
2020-A-PAPER-003,2020,2020-A,paper,competition_solution_paper,基于一维热传导方程的回焊炉炉温模型,zh-CN,1,1,2020-REP-025,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-B-PAPER-001,2020,2020-B,paper,competition_solution_paper,“穿越沙漠”游戏下玩家的最优策略模型,zh-CN,1,1,2020-REP-026,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-B-PAPER-002,2020,2020-B,paper,competition_solution_paper,穿越沙漠游戏中的玩家行为决策问题,zh-CN,1,1,2020-REP-027,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-B-PAPER-003,2020,2020-B,paper,competition_solution_paper,“穿越沙漠”游戏最佳策略模型的研究与构建,zh-CN,1,1,2020-REP-028,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-B-PAPER-004,2020,2020-B,paper,competition_solution_paper,基于动态规划、统计分析、静态博弈的穿越沙漠游戏策略设计,zh-CN,1,1,2020-REP-029,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,原文件名“策咯”为拼写错误，正文标题为“策略设计”。
2020-C-PAPER-001,2020,2020-C,paper,competition_solution_paper,针对中小微企业最优信贷决策研究,zh-CN,1,1,2020-REP-030,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-C-PAPER-002,2020,2020-C,paper,competition_solution_paper,基于梯度下降的决策树算法与非线性规划的信贷风险评估与信贷策略模型,zh-CN,1,1,2020-REP-031,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,文件名前缀误标为D题；正文题名、摘要、数据对象和问题结构均属于C题。
2020-C-PAPER-003,2020,2020-C,paper,competition_solution_paper,银行对中小微企业的信贷策略,zh-CN,1,1,2020-REP-032,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-C-PAPER-004,2020,2020-C,paper,competition_solution_paper,银行对中小微企业的信贷决策分析,zh-CN,1,1,2020-REP-033,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-C-PAPER-005,2020,2020-C,paper,competition_solution_paper,银行基于大数据挖掘对中小微企业的信贷决策问题,zh-CN,1,1,2020-REP-034,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-D-PAPER-001,2020,2020-D,paper,competition_solution_paper,基于接触式轮廓仪测量数据的工件形状自动标注方法,zh-CN,1,1,2020-REP-035,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-D-PAPER-002,2020,2020-D,paper,competition_solution_paper,接触式轮廓仪的自动标注数学模型研究,zh-CN,1,1,2020-REP-036,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-D-PAPER-003,2020,2020-D,paper,competition_solution_paper,接触式轮廓仪校准问题,zh-CN,1,1,2020-REP-037,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-E-PAPER-001,2020,2020-E,paper,competition_solution_paper,校园供水系统智能管理（1）,zh-CN,1,1,2020-REP-038,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
2020-E-PAPER-002,2020,2020-E,paper,competition_solution_paper,校园供水系统智能管理（2）,zh-CN,1,1,2020-REP-039,eligible_solution_paper,parsed,complete_for_observed_carrier,page_segmented,title_abstract_methods_and_page_structure_verified,unknown,not_observed,present,not_observed,标题、摘要和题目对应关系已核验；不从文件目录推断奖项。
