file_path,sha256,year,paper_id,classification,final_q,quality_status,quality_evidence_source,quality_evidence_summary,issue_codes,visual_review_required,visual_review_status
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/A题/A题.pdf,A37F6AAD30B16EA09DA9CB320CE194B12D3A28874008CF9FF19549F6C6079447,2025,CUMCM-2025-A-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/B题/B题.pdf,B0B2CE649282C2D7063AF3C30AC9C0D931512DC86014D3147BC765D8F1C8CF87,2025,CUMCM-2025-B-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 2] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/C题/C题.pdf,D54400F4BB9920C0D37F15F5B6BC161AA281C4B32C03C063EFDEB739716EAC08,2025,CUMCM-2025-C-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 2] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/D题/D题.pdf,280D690A1F78F5FF0889760592BF30DE903AC5144ED8491D59AE744E560C4AA8,2025,CUMCM-2025-D-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1, 2] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2025年数学建模国赛真题+优秀论文/2025年数学建模国赛真题！/E题/E题.pdf,1E6ECC6D75D2AAA0EAE3DC961704FD17F1CD452A51490C80855A9F799CE1A958,2025,CUMCM-2025-E-001,text_based,Q0,graded,G5-00 representative-page visual review + G4 native-text audit,"Pages [1] reviewed; native text, formulas/tables and page layout are clear; no G4 issue, encoding problem or OCR route was recorded.",[],False,not_required
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A066.pdf,9C14EAB19304FE45A36E45A965FA740E2636690630ECD8528335D4E4AEC3E2D4,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 43, 86] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/A196.pdf,B5FB5FE4B2D06998BC85BB9276CF16AFC1755913D91F18C01D5209F8F13ADA92,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 49, 98] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/B060.pdf,17C1B7E255DCBB8E8AC34C0A750E39D7DF1EE4A5ED0D0323B46388F168090330,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 36, 72] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C023.pdf,515FD73059B427606FFD099781A124D34BAC3306BEE87C61D47259622351EB17,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 61, 122] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/C132.pdf,08EC307CDC65A673E6838E2E3D00B2337DA414E7891284617E10F370E5F246B5,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 33, 65] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/D037.pdf,BDBED46FF5D5841AF82FA6441C8AB3D83A62658672857E445DEADFD8DAD1F0AC,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 19, 37] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
2025年数学建模国赛真题+优秀论文/2025数学建模国赛优秀论文/E030.pdf,7270DACAB35167E998141D5D34C34D12A912B3620249A892697211F24D009E0D,2025,unknown,image_based,Q2,graded,G5-00 representative-page visual review + G4 text-layer/OCR-route evidence,"Pages [1, 18, 36] reviewed; text, formulas/tables, contrast, crop, rotation and skew are clear; G4 evidence shows no reliable searchable text layer.","[""PDF_NO_TEXT_LAYER""]",True,completed
